No,Text_Clause,Label,Category,Shariah_Justification (Academic Standard)
1,"""Based on the Shariah contract of Ijarah Muntahiyah Bi Tamlik, which is a lease contract ending with ownership through sale.""",1,Shariah_Concept,"Compliant via Ijarah Muntahiyah Bi Tamlik, a recognized lease-to-own contract in Islamic finance."
2,"""The Facility is a basic term loan with a fixed payment schedule and interest is charged on the daily balance.""",0,Profit_Interest,Non-Compliant: Involves Usury (Riba) through interest-based lending without an underlying trade transaction.
3,"""This financing is under the Shariah principle of Tawarruq involving two sale and purchase contracts.""",1,Shariah_Concept,"Compliant through the Tawarruq mechanism, ensuring a valid exchange of commodities to generate liquidity."
4,"""Annual interest rate of 4.5% will be charged on the outstanding loan balance.""",0,Profit_Interest,"Non-Compliant: Direct application of Interest (Riba) on the principal amount, which is strictly prohibited."
5,"""Late payment (Ta`widh) will be charged at 1% p.a. on the overdue installments.""",1,Late_Payment,"Compliant as Ta'widh serves as compensation for actual loss incurred by the bank, not as a profit-making tool."
6,"""Compound charges will be imposed on overdue interest and principal.""",0,Late_Payment,"Non-Compliant: Features Compound Interest (Riba al-Jahiliyyah), where debt increases due to the passage of time."
7,"""The Bank must grant ibra’ (rebate) for early settlement of the financing facility.""",1,Rebate,"Adheres to the principle of Ibra', where the financier waives the right to unearned profit upon early redemption."
8,"""Selling price will be determined at a later date without any specific price guidelines.""",0,Price_Structure,"Non-Compliant: Presence of Uncertainty (Gharar) regarding the price, which is a fundamental pillar of a valid sale."
9,"""Funds from this facility may be used for lottery purchases or gambling activities.""",0,Prohibited_Activity,Non-Compliant: Promotes Gambling (Maysir) and prohibited activities that contradict Shariah ethical standards.
10,"""The Bank's Sale Price is derived based on the Ceiling Profit Rate (CPR) which is fixed throughout the tenure.""",1,Profit_Interest,"Compliant as it establishes a maximum price cap, protecting the customer from excessive rate fluctuations."
11,"""The Bank has the absolute right to change terms unilaterally without prior notice.""",0,General_Principles,"Non-Compliant: Elements of Uncertainty (Gharar) in the contract terms, leading to potential injustice (Zulm)."
12,"""Penalty for late payment will be channeled to charitable bodies (Sadaqah fund).""",1,Late_Payment,"Compliant as the penalty (Gharamah) is not taken as bank income, preventing interest-based profit."
13,"""Financing is available for the purchase of liquor shops or breweries.""",0,Prohibited_Activity,Non-Compliant: Financing of Haraam industries which is against the Shariah principle of social responsibility.
14,"""Profit is earned through the sale of commodities at a higher price than the purchase price.""",1,Shariah_Concept,"Compliant via Murabahah (cost-plus-profit), where profit is generated through trade, not lending."
15,"""All risks related to the asset are borne solely by the customer at all times.""",0,General_Principles,"Non-Compliant: Violates the principle of Risk-Sharing in Islamic contracts, especially in leasing (Ijarah)."
16,"""The Bank's profit on deferred payment basis is derived from the Commodity Murabahah transaction.""",1,Shariah_Concept,"Compliant via Murabahah, where profit is generated through a transparent cost-plus-profit sale."
17,"""The loan amount will increase if the monthly interest is not paid on time, leading to capitalized interest.""",0,Late_Payment,Non-Compliant: Involves Compound Usury (Riba al-Jahiliyyah) where debt grows due to time.
18,"""A reduction in the principal amount will result in less interest being charged on the facility.""",0,Profit_Interest,Non-Compliant: Calculation is based on Interest (Riba) charged on a loan principal.
19,"""The customer is entering into a Musyarakah Mutanaqisah (Diminishing Partnership) agreement.""",1,Shariah_Concept,"Compliant through Musyarakah Mutanaqisah, involving equity partnership and gradual transfer of ownership."
20,"""Interest is chargeable on the utilized portion of the overdraft facility at a floating rate.""",0,Profit_Interest,Non-Compliant: Explicit use of Usury (Riba) on the amount of credit utilized.
21,"""This product applies the Shariah concepts of Hibah (gift) and Ju'alah (reward).""",1,Shariah_Concept,Compliant use of Hibah for ownership transfer and Ju'alah for service-based rewards.
22,"""The contract involves the sale of an asset which the seller does not yet own (Short Selling).""",0,Shariah_Concept,Non-Compliant: Presence of Uncertainty (Gharar) as the seller lacks ownership (Milk) of the asset.
23,"""Ta’widh is calculated at a rate of 1% per annum on the overdue installments.""",1,Late_Payment,Compliant as Ta'widh is restricted to actual loss compensation as per BNM Shariah standards.
24,"""The bank will pay a guaranteed return regardless of the business performance of the venture.""",0,Profit_Interest,Non-Compliant: Guarantees on profit in a partnership violate the Risk-Sharing principle.
25,"""Ibra' is calculated as: (Remaining Tenure x Total Profit) / Total Tenure.""",1,Rebate,Adheres to the standardized formula for Rebate (Ibra') to ensure fairness for the customer.
26,"""The facility is a basic term loan with a revolving credit element and monthly interest charges.""",0,Shariah_Concept,Non-Compliant: Based on a conventional loan structure involving Usury (Riba).
27,"""The Bank acts as the Sale Agent for the customer to sell commodities on a cash basis.""",1,Shariah_Concept,Compliant use of Wakalah (agency) to facilitate commodity trading in a Tawarruq arrangement.
28,"""The contract terms may be amended by the bank at any time without prior consent.""",0,General_Principles,Non-Compliant: Causes Uncertainty (Gharar) and potential injustice in the contractual relationship.
29,"""HouzKEY homebuyers enjoy 100% financing with no down payment required.""",1,Financing_Structure,Compliant under Ijarah where the bank provides the asset for lease without upfront capital.
30,"""The borrower must pay a penalty interest for any breach of the loan covenants.""",0,Late_Payment,Non-Compliant: Penalty-based Usury (Riba) used as a punitive measure for non-compliance.
31,"""The Sale Price is fixed throughout the tenure of the financing facility.""",1,Price_Structure,Compliant as it eliminates Uncertainty (Gharar) regarding the total price of the transaction.
32,"""Proceeds from this financing will be invested in highly speculative derivative markets.""",0,Prohibited_Activity,Non-Compliant: Involves excessive Uncertainty (Gharar) and elements of Gambling (Maysir).
33,"""The Bank will grant Ibra’ when the Effective Profit Rate is lower than the Ceiling Profit Rate.""",1,Rebate,Compliant mechanism to adjust the customer's payment based on market rates via Ibra'.
34,"""Two contracts are combined into one where one is a condition for the other.""",0,Shariah_Concept,Non-Compliant: Prohibited combination of contracts (Al-Uqud al-Murakkabah) leading to Riba.
35,"""The Bank's Sale Price consists of the Purchase Price plus the Total Profit.""",1,Price_Structure,Compliant as it follows the Murabahah structure where profit and cost are clearly disclosed.
36,"""The lender takes a share of the profit but does not share in any of the losses.""",0,General_Principles,Non-Compliant: Violates the Risk-Sharing principle (Al-Ghunm bi al-Ghurm) in Shariah.
37,"""For property under construction, it is based on ljarah mawsufah fi zimmah (forward lease).""",1,Shariah_Concept,Compliant use of Ijarah Mawsufah fi Zimmah for financing assets to be delivered in the future.
38,"""The selling price is based on the fluctuating value of an undisclosed asset index.""",0,Price_Structure,Non-Compliant: Excessive Uncertainty (Gharar) regarding the subject matter's price.
